,YearSampled,Pasture,Plot,Transect,Distance,AG,BOBU,C3PG,FORB,SD,WSPG,SS,OTHER,NA,Block,Treatment,Ecosite,PastureSize_ha,X,Y
49,2013,17S,3,4,10,0,219.58,2355.14,51.67,1819.1,0,0,0,0,9,AGM,Salt Flats,128.7,526260,4519920
50,2013,17S,3,4,20,0,481.69,491.91,94.18,629.69,1594.67,0,0,0,9,AGM,Salt Flats,128.7,526260,4519920
51,2013,17S,4,1,10,0,93.65,932.16,0,1078.01,7.53,68.89,0,0,9,AGM,Salt Flats,128.7,526341,4520200
52,2013,17S,4,1,20,0,571.03,96.88,23.68,221.2,0,75.89,0,0,9,AGM,Salt Flats,128.7,526341,4520200
53,2013,17S,4,4,10,0,369.2,505.9,0,1041.41,1243.77,0,0,0,9,AGM,Salt Flats,128.7,526341,4520200
54,2013,17S,4,4,20,0,418.72,266.41,0,1318.58,242.73,0,0,0,9,AGM,Salt Flats,128.7,526341,4520200
55,2013,17S,5,1,10,0,267.48,364.9,0,76.42,56.51,0,0,0,9,AGM,Sandy,128.7,526544,4520040
56,2013,17S,5,1,20,0,366.51,118.94,55.43,189.44,0,0,0,0,9,AGM,Sandy,128.7,526544,4520040
57,2013,17S,5,4,10,0,614.08,61.89,0,340.68,24.76,0,0,0,9,AGM,Sandy,128.7,526544,4520040
58,2013,17S,5,4,20,0,489.76,48.44,40.36,148,335.3,0,0,0,9,AGM,Sandy,128.7,526544,4520040
59,2013,17S,6,1,10,0,22.07,1203.94,34.98,2535.98,0,0,0,0,9,AGM,Sandy,128.7,526947,4520140
60,2013,17S,6,1,20,0,23.14,1121.6,0.54,995.12,0,0,0,0,9,AGM,Sandy,128.7,526947,4520140
61,2013,17S,6,4,10,5.92,508.6,0,22.07,99.57,129.71,0,0,0,9,AGM,Sandy,128.7,526947,4520140
62,2013,17S,6,4,20,0,474.69,865.42,0,378.89,25.3,0,0,0,9,AGM,Sandy,128.7,526947,4520140
63,2013,18S,1,1,10,0,359.51,28.52,1054.33,618.39,89.88,0,0,0,6,AGM,Sandy,131.95,524290,4519770
64,2013,18S,1,1,20,0,355.21,0,282.55,177.07,23.14,0,0,0,6,AGM,Sandy,131.95,524290,4519770
65,2013,18S,1,4,10,0,149.62,435.94,18.84,51.13,11.3,0,0,0,6,AGM,Sandy,131.95,524290,4519770
66,2013,18S,1,4,20,0,163.07,409.03,0,114.64,0,0,0,0,6,AGM,Sandy,131.95,524290,4519770
67,2013,18S,2,1,10,0,60.82,948.84,0,117.33,0,0,0,0,6,AGM,Sandy,131.95,524267,4520060
68,2013,18S,2,1,20,0,91.49,626.46,0.27,101.72,16.68,0,0,0,6,AGM,Sandy,131.95,524267,4520060
69,2013,18S,2,4,10,0,485.45,140.47,0,70.5,0,73.73,0,0,6,AGM,Sandy,131.95,524267,4520060
70,2013,18S,2,4,20,0,562.41,11.84,74.81,31.75,0,0,0,0,6,AGM,Sandy,131.95,524267,4520060
71,2013,18S,3,1,10,0,594.17,48.98,26.37,37.14,0,0,0,0,6,AGM,Sandy,131.95,524564,4520040
72,2013,18S,3,1,20,0,266.41,83.42,0,24.76,0,0,0,0,6,AGM,Sandy,131.95,524564,4520040
73,2013,18S,3,4,10,0,122.17,357.9,11.84,236.81,0,0,0,0,6,AGM,Sandy,131.95,524564,4520040
74,2013,18S,3,4,20,0,477.92,0,25.83,52.2,66.74,33.91,0,0,6,AGM,Sandy,131.95,524564,4520040
75,2013,18S,4,1,10,0,438.09,34.98,8.07,59.74,0,0,0,0,6,AGM,Sandy,131.95,524652,4519770
76,2013,18S,4,1,20,0,485.99,64.58,59.74,228.73,0,245.96,0,0,6,AGM,Sandy,131.95,524652,4519770
77,2013,18S,4,4,10,0,214.74,0,111.94,56.51,266.41,0,0,0,6,AGM,Sandy,131.95,524652,4519770
78,2013,18S,4,4,20,0,182.45,65.12,0,797.61,268.56,0,0,0,6,AGM,Sandy,131.95,524652,4519770
79,2013,19N,1,1,10,0,391.81,568.33,530.12,207.21,0,0,0,0,6,TGM,Sandy,129.18,524215,4519380
80,2013,19N,1,1,20,0,69.43,120.02,636.15,56.51,186.75,0,0,0,6,TGM,Sandy,129.18,524215,4519380
81,2013,19N,1,4,10,0,99.03,434.32,21.53,15.07,111.94,0,0,0,6,TGM,Sandy,129.18,524215,4519380
82,2013,19N,1,4,20,0,199.13,816.44,22.07,132.4,53.82,0,0,0,6,TGM,Sandy,129.18,524215,4519380
