Row,YearSampled,Pasture,C3PGObj,Plot,Transect,Distance,Block,Treatment,Ecosite,FGCode,kgPerHa
76,2013,17N,NonMCLO,1,4,20,9,TGM,Loamy,C3PG,179.7573972
77,2013,17N,NonMCLO,1,4,20,9,TGM,Loamy,FORB,29.600769
78,2013,17N,NonMCLO,1,4,20,9,TGM,Loamy,SD,101.7190062
79,2013,17N,NonMCLO,1,4,20,9,TGM,Loamy,SS,5.9201538
80,2013,17N,NonMCLO,1,4,20,9,TGM,Loamy,WSPG,183.5247678
81,2013,17N,NonMCLO,2,1,10,9,TGM,Loamy,AG,194.8268796
82,2013,17N,NonMCLO,2,1,10,9,TGM,Loamy,BOBU,357.900207
83,2013,17N,NonMCLO,2,1,10,9,TGM,Loamy,C3PG,117.8648802
84,2013,17N,NonMCLO,2,1,10,9,TGM,Loamy,SD,38.7500976
85,2013,17N,NonMCLO,2,1,20,9,TGM,Loamy,AG,71.5800414
86,2013,17N,NonMCLO,2,1,20,9,TGM,Loamy,BOBU,346.0598994
87,2013,17N,NonMCLO,2,1,20,9,TGM,Loamy,C3PG,48.9758178
88,2013,17N,NonMCLO,2,1,20,9,TGM,Loamy,FORB,4.3055664
89,2013,17N,NonMCLO,2,1,20,9,TGM,Loamy,SD,7.5347412
90,2013,17N,NonMCLO,2,4,10,9,TGM,Loamy,BOBU,340.6779414
91,2013,17N,NonMCLO,2,4,10,9,TGM,Loamy,FORB,128.0906004
92,2013,17N,NonMCLO,2,4,10,9,TGM,Loamy,SD,36.5973144
93,2013,17N,NonMCLO,2,4,10,9,TGM,Loamy,WSPG,161.45874
94,2013,17N,NonMCLO,2,4,20,9,TGM,Loamy,BOBU,471.4595208
95,2013,17N,NonMCLO,2,4,20,9,TGM,Loamy,C3PG,122.1704466
96,2013,17N,NonMCLO,2,4,20,9,TGM,Loamy,FORB,15.0694824
97,2013,17N,NonMCLO,2,4,20,9,TGM,Loamy,SD,79.6529784
98,2013,17N,,3,1,10,9,TGM,Salt Flats,BOBU,465.539367
99,2013,17N,,3,1,10,9,TGM,Salt Flats,C3PG,449.393493
100,2013,17N,,3,1,10,9,TGM,Salt Flats,SD,439.1677728
101,2013,17N,,3,1,10,9,TGM,Salt Flats,WSPG,684.5850576
102,2013,17N,,3,1,20,9,TGM,Salt Flats,BOBU,3.7673706
103,2013,17N,,3,1,20,9,TGM,Salt Flats,C3PG,768.5436024
104,2013,17N,,3,1,20,9,TGM,Salt Flats,SD,385.3481928
105,2013,17N,,3,1,20,9,TGM,Salt Flats,WSPG,478.4560662
106,2013,17N,,3,4,10,9,TGM,Salt Flats,C3PG,58.6633422
107,2013,17N,,3,4,10,9,TGM,Salt Flats,FORB,56.510559
108,2013,17N,,3,4,10,9,TGM,Salt Flats,SD,1503.180869
109,2013,17N,,3,4,10,9,TGM,Salt Flats,WSPG,1738.372434
110,2013,17N,,3,4,20,9,TGM,Salt Flats,BOBU,352.518249
111,2013,17N,,3,4,20,9,TGM,Salt Flats,C3PG,770.6963856
112,2013,17N,,3,4,20,9,TGM,Salt Flats,FORB,495.140136
113,2013,17N,,3,4,20,9,TGM,Salt Flats,SD,256.1812008
114,2013,17N,,3,4,20,9,TGM,Salt Flats,WSPG,270.1742916
115,2013,17N,,4,1,10,9,TGM,Salt Flats,BOBU,2.1527832
116,2013,17N,,4,1,10,9,TGM,Salt Flats,C3PG,464.4629754
117,2013,17N,,4,1,10,9,TGM,Salt Flats,SD,1281.982396
118,2013,17N,,4,1,10,9,TGM,Salt Flats,WSPG,1946.116013
119,2013,17N,,4,1,20,9,TGM,Salt Flats,BOBU,19.3750488
120,2013,17N,,4,1,20,9,TGM,Salt Flats,C3PG,658.2134634
121,2013,17N,,4,1,20,9,TGM,Salt Flats,SD,1237.85034
122,2013,17N,,4,1,20,9,TGM,Salt Flats,WSPG,1560.229624
123,2013,17N,,4,4,10,9,TGM,Salt Flats,AG,57.5869506
124,2013,17N,,4,4,10,9,TGM,Salt Flats,BOBU,195.3650754
125,2013,17N,,4,4,10,9,TGM,Salt Flats,FORB,5.381958
126,2013,17N,,4,4,10,9,TGM,Salt Flats,SD,104.948181
127,2013,17N,,4,4,10,9,TGM,Salt Flats,WSPG,750.783141
128,2013,17N,,4,4,20,9,TGM,Salt Flats,AG,6.4583496
129,2013,17N,,4,4,20,9,TGM,Salt Flats,BOBU,461.7719964
130,2013,17N,,4,4,20,9,TGM,Salt Flats,SD,336.9105708
131,2013,17N,,4,4,20,9,TGM,Salt Flats,WSPG,554.8798698
132,2013,17N,,5,1,10,9,TGM,Sandy,BOBU,491.9109612
133,2013,17N,,5,1,10,9,TGM,Sandy,C3PG,1021.495628
134,2013,17N,,5,1,10,9,TGM,Sandy,FORB,69.4272582
135,2013,17N,,5,1,10,9,TGM,Sandy,SD,65.1216918
136,2013,17N,,5,1,10,9,TGM,Sandy,WSPG,20.9896362
137,2013,17N,,5,1,20,9,TGM,Sandy,BOBU,425.7128778
138,2013,17N,,5,1,20,9,TGM,Sandy,C3PG,67.274475
139,2013,17N,,5,1,20,9,TGM,Sandy,FORB,194.8268796
140,2013,17N,,5,1,20,9,TGM,Sandy,SD,133.4725584
141,2013,17N,,5,1,20,9,TGM,Sandy,WSPG,67.274475
142,2013,17N,,5,4,10,9,TGM,Sandy,BOBU,355.7474238
143,2013,17N,,5,4,10,9,TGM,Sandy,C3PG,59.201538
144,2013,17N,,5,4,10,9,TGM,Sandy,FORB,12.3785034
145,2013,17N,,5,4,10,9,TGM,Sandy,SD,8.6111328
146,2013,17N,,5,4,20,9,TGM,Sandy,BOBU,209.3581662
147,2013,17N,,5,4,20,9,TGM,Sandy,C3PG,1149.048033
148,2013,17N,,5,4,20,9,TGM,Sandy,FORB,7.5347412
149,2013,17N,,5,4,20,9,TGM,Sandy,SD,210.4345578
150,2013,17N,,5,4,20,9,TGM,Sandy,SS,123.785034
151,2013,17N,,6,1,10,9,TGM,Sandy,BOBU,577.4840934
152,2013,17N,,6,1,10,9,TGM,Sandy,C3PG,278.7854244
153,2013,17N,,6,1,10,9,TGM,Sandy,SD,284.7055782
154,2013,17N,,6,1,10,9,TGM,Sandy,WSPG,11.8403076
155,2013,17N,,6,1,20,9,TGM,Sandy,AG,3.7673706
156,2013,17N,,6,1,20,9,TGM,Sandy,BOBU,51.6667968
157,2013,17N,,6,1,20,9,TGM,Sandy,FORB,75.8856078
158,2013,17N,,6,1,20,9,TGM,Sandy,SD,6.4583496
159,2013,17N,,6,1,20,9,TGM,Sandy,SS,743.2483998
160,2013,17N,,6,1,20,9,TGM,Sandy,WSPG,370.8169062
161,2013,17N,,6,4,10,9,TGM,Sandy,BOBU,22.0660278
162,2013,17N,,6,4,10,9,TGM,Sandy,C3PG,813.7520496
163,2013,17N,,6,4,10,9,TGM,Sandy,SD,16.145874
164,2013,17N,,6,4,20,9,TGM,Sandy,BOBU,363.282165
165,2013,17N,,6,4,20,9,TGM,Sandy,C3PG,360.0529902
166,2013,17N,,6,4,20,9,TGM,Sandy,FORB,984.898314
167,2013,17N,,6,4,20,9,TGM,Sandy,SD,23.1424194
168,2013,17N,,6,4,20,9,TGM,Sandy,WSPG,47.3612304
169,2013,17S,NonMCLO,1,1,10,9,AGM,Loamy,BOBU,447.2407098
170,2013,17S,NonMCLO,1,1,10,9,AGM,Loamy,FORB,121.6322508
171,2013,17S,NonMCLO,1,1,10,9,AGM,Loamy,SD,281.4764034
172,2013,17S,NonMCLO,1,1,10,9,AGM,Loamy,WSPG,23.6806152
173,2013,17S,NonMCLO,1,1,20,9,AGM,Loamy,AG,21.527832
174,2013,17S,NonMCLO,1,1,20,9,AGM,Loamy,BOBU,306.2334102
175,2013,17S,NonMCLO,1,1,20,9,AGM,Loamy,FORB,40.9028808
176,2013,17S,NonMCLO,1,1,20,9,AGM,Loamy,SD,4.3055664
177,2013,17S,NonMCLO,1,4,10,9,AGM,Loamy,BOBU,138.3163206
178,2013,17S,NonMCLO,1,4,10,9,AGM,Loamy,C3PG,1086.079124
179,2013,17S,NonMCLO,1,4,10,9,AGM,Loamy,SD,1588.215806
180,2013,17S,NonMCLO,1,4,20,9,AGM,Loamy,AG,15.6076782
181,2013,17S,NonMCLO,1,4,20,9,AGM,Loamy,BOBU,87.1877196
182,2013,17S,NonMCLO,1,4,20,9,AGM,Loamy,C3PG,238.9589352
183,2013,17S,NonMCLO,1,4,20,9,AGM,Loamy,FORB,28.5243774
