   95 TX1649.DLY     35.69 -102.33   1155. CHANNING 2      
   96 TX1650.DLY     35.77 -102.15   1135. CHANNING 11 NE  
   97 TX1651.DLY     27.59  -97.46      8. CHAPMAN RANCH   
   98 TX1663.DLY     28.93  -98.75    134. CHARLOTTE 5 NNW 
   99 TX1671.DLY     29.31  -97.35     94. CHEAPSIDE       
  100 TX1694.DLY     34.43 -100.22    591. CHILDRESS 2     
  101 TX1697.DLY     34.57 -100.33    522. CHILDRESS 13 NW 
  102 TX1698.DLY     34.43 -100.28    595. CHILDRESS MUNICI
  103 TX1715.DLY     29.27 -103.30   1615. CHISOS BASIN    
  104 TX1720.DLY     28.47  -98.25     70. CHOKE CANYON DAM
  105 TX1761.DLY     34.93 -100.89    823. CLARENDON       
  106 TX1772.DLY     33.62  -95.07    133. CLARKSVILLE 2 NE
  107 TX1777.DLY     29.65  -98.37    305. CLASSENS RANCH  
  108 TX1778.DLY     35.11 -101.36   1035. CLAUDE          
  109 TX1800.DLY     32.31  -97.41    239. CLEBURNE        
  110 TX1810.DLY     30.36  -95.08     60. CLEVELAND       
  111 TX1838.DLY     29.71  -95.69     26. CLODINE         
  112 TX1870.DLY     30.53  -95.15    108. COLDSPRING 5 SSW
  113 TX1874.DLY     36.40 -102.57   1259. COLDWATER       
  114 TX1875.DLY     31.82  -99.42    526. COLEMAN         
  115 TX1880.DLY     28.72  -97.17     36. COLETO CREEK RES
  116 TX1889.DLY     30.59  -96.36     93. COLLEGE STA EAST
  117 TX1891.DLY     30.55  -96.43     69. COLLEGE STATION 
  118 TX1903.DLY     32.40 -100.86    643. COLORADO CITY   
  119 TX1911.DLY     29.71  -96.54     61. COLUMBUS        
  120 TX1926.DLY     29.70 -101.35    384. COMSTOCK 11 WNW 
  121 TX1932.DLY     27.36  -98.38     79. CONCEPCION 3 S  
  122 TX1934.DLY     31.55  -99.71    480. CONCHO PK IVIE R
  123 TX1956.DLY     30.33  -95.48     75. CONROE          
  124 TX1970.DLY     33.37  -95.68    146. COOPER          
  125 TX1974.DLY     31.53 -101.28    756. COPE RANCH      
  126 TX1984.DLY     31.12  -97.90    326. COPPERAS COVE   
  127 TX1995.DLY     34.11  -99.74    450. COPPER BREAKS ST
  128 TX2011.DLY     27.78  -97.51     13. CORPUS CHRISTI N
  129 TX2012.DLY     31.78 -105.47   1365. CORNUDAS SVC STA
  130 TX2013.DLY     27.65  -97.41      5. C C BOTANICAL GA
  131 TX2014.DLY     27.80  -97.40      3. CORPUS CHRISTI  
  132 TX2015.DLY     27.77  -97.51     13. CORPUS CHRISTI A
  133 TX2019.DLY     32.11  -96.47    126. CORSICANA       
  134 TX2048.DLY     28.46  -99.22    145. COTULLA LA SALLE
  135 TX2050.DLY     28.45  -99.22    141. COTULLA FAA AIRP
  136 TX2082.DLY     31.40 -102.31    797. CRANE 2E        
  137 TX2084.DLY     31.67 -102.41    892. CRANE 10N       
  138 TX2114.DLY     31.31  -95.45    106. CROCKETT        
  139 TX2121.DLY     33.65 -101.25    917. CROSBYTON       
  140 TX2125.DLY     28.60  -98.56     87. CROSS           
  141 TX2128.DLY     32.12  -99.17    531. CROSS PLAINS    
  142 TX2160.DLY     28.68  -99.83    177. CRYSTAL CITY    
  143 TX2173.DLY     29.09  -97.32     54. CUERO           
  144 TX2206.DLY     29.97  -95.69     46. CYPRESS         
  145 TX2225.DLY     32.92  -94.72     91. DAINGERFIELD 9 S
  146 TX2228.DLY     32.82  -96.72    151. DALLAS ARBORETUM
  147 TX2235.DLY     36.01 -102.61   1219. DALHART 6 SW    
  148 TX2240.DLY     36.02 -102.55   1216. DALHART FAA AIRP
  149 TX2242.DLY     32.90  -97.02    171. DAL-FTW INTL AP 
  150 TX2244.DLY     32.85  -96.86    134. DALLAS LOVE FIEL
  151 TX2266.DLY     29.06  -96.23     21. DANEVANG 1 W    
  152 TX2282.DLY     36.44 -100.33    774. DARROUZETT      
  153 TX2334.DLY     33.27  -97.58    298. DECATUR         
  154 TX2352.DLY     33.63  -94.64    122. DEKALB          
  155 TX2354.DLY     31.88 -105.24   1149. DELL CITY 5SSW  
  156 TX2357.DLY     29.37 -100.90    293. DEL RIO WB CITY 
  157 TX2360.DLY     29.38 -100.93    304. DEL RIO AP      
  158 TX2361.DLY     29.42 -100.91    329. DEL RIO 2 NW    
  159 TX2394.DLY     33.82  -96.57    187. DENISON DAM     
  160 TX2403.DLY     33.23  -97.13    201. DENTON          
  161 TX2404.DLY     33.20  -97.11    192. DENTON 2 SE     
  162 TX2408.DLY     32.96 -102.82   1094. DENVER CITY     
  163 TX2444.DLY     31.91  -95.26    188. DIALVILLE 2 W   
  164 TX2448.DLY     33.62 -100.83    785. DICKENS         
  165 TX2458.DLY     28.67  -99.17    168. DILLEY          
  166 TX2464.DLY     34.59 -102.31   1173. DIMMITT 2 N     
  167 TX2558.DLY     31.65  -94.90    117. DOUGLASS 1 S    
  168 TX2585.DLY     30.21  -97.98    341. DRIPPING SPRINGS
  169 TX2590.DLY     30.05 -102.12    668. DRYDEN          
  170 TX2598.DLY     32.10  -98.33    458. DUBLIN          
  171 TX2617.DLY     35.87 -101.97   1114. DUMAS           
